Source,Target,Weight,Book
himalaya,ganga,1,2
bhagirath,dilipa,4,2
ikshvaku,bhagirath,2,2
swarga,siva,1,2
bhagirath,siva,7,2
bhagirath,vindu,7,2
vindu,ganga,1,2
vindu,hladini,1,2
vindu,pavani,1,2
vindu,nalini,1,2
ganga,hladini,8,2
ganga,pavani,8,2
ganga,nalini,8,2
hladini,pavani,1,2
hladini,nalini,1,2
hladini,suchakshu,1,2
hladini,sita,1,2
pavani,nalini,1,2
pavani,suchakshu,1,2
pavani,sita,1,2
pavani,sindhu,1,2
nalini,suchakshu,1,2
nalini,sita,1,2
nalini,sindhu,1,2
suchakshu,sita,1,2
suchakshu,sindhu,1,2
sita,sindhu,1,2
sindhu,bhagirath,1,2
jahnavi,jahnu,1,2
rama,ganga,4,2
lakshman,raghu,1,2
lakshman,ganga,1,2
indra,krita,2,2
krita,diti,1,2
krita,aditi,1,2
diti,aditi,4,2
diti,kasyap,6,2
aditi,kasyap,3,2
vasuki,mandar,1,2
sankar,rudra,1,2
sankar,vishnu,1,2
rudra,vishnu,1,2
asurs,mandar,2,2
sura,varun,1,2
sura,diti,1,2
varun,diti,1,2
suras,asurs,1,2
suras,titan,1,2
suras,uchchaihsravas,1,2
uchchaihsravas,kaustubha,1,2
uchchaihsravas,soma,1,2
kaustubha,soma,1,2
diti,maricha,2,2
kasyap,maricha,3,2
indra,thousand-eyed,8,2
indra,diti,5,2
thousand-eyed,diti,2,2
maruts,brahma,2,2
maruts,indra,2,2
brahma,vayu,1,2
vayu,town-destroyer,1,2
vayu,thousand-eyed,1,2
vayu,bali,1,2
town-destroyer,thousand-eyed,1,2
town-destroyer,bali,1,2
bali,maruts,1,2
mahendra,alambusha,1,2
mahendra,ikshvaku,1,2
alambusha,ikshvaku,1,2
alambusha,visala,2,2
ikshvaku,visala,4,2
visala,hemachandra,3,2
hemachandra,suchandra,1,2
hemachandra,dhumrasva,1,2
suchandra,dhumrasva,1,2
suchandra,sahadeva,1,2
suchandra,kusasva,1,2
dhumrasva,sahadeva,1,2
dhumrasva,kusasva,1,2
dhumrasva,somadatta,1,2
sahadeva,kusasva,1,2
sahadeva,somadatta,1,2
sahadeva,sumati,1,2
kusasva,somadatta,1,2
kusasva,sumati,1,2
kusasva,ikshvaku,1,2
somadatta,sumati,1,2
somadatta,ikshvaku,1,2
somadatta,visala,1,2
sumati,ikshvaku,2,2
sumati,visala,2,2
mithila,sumati,1,2
mithila,visvamitra,1,2
mithila,janak,3,2
gautam,ahalya,3,2
indra,ahalya,3,2
gautam,rama,4,2
gautam,raghu,6,2
ahalya,rama,1,2
