Source,Target,Book_no,Weight
air,jamadagni,1,0.31730273
air,janak,1,0.94951737
air,javali,1,0.366216
air,jaya,1,0.23164669
air,justice,1,0.6821709
air,kabandha,1,0.35101622
air,kaikeyi,1,0.8034042
air,kambojas,1,0.2569219
air,kandarpa,1,0.45493698
air,kasyap,1,0.7310543
air,kausalya,1,0.688844
air,kesini,1,0.3712827
air,krisasva,1,0.31509876
air,kusa,1,0.39589554
air,kusadhwaj,1,0.30509964
air,kusanabha,1,0.7473155
air,kusik,1,0.5750591
air,lakshman,1,0.9540858
air,lanka,1,0.3467427
air,lomapad,1,0.7009973
air,madhu,1,0.7520575
air,madhushyand,1,0.31073695
air,mahodaya,1,0.3275645
air,manu,1,0.4431764
air,maricha,1,0.81468993
air,maru,1,0.27560917
air,maruts,1,0.4678931
air,mithila,1,0.80166155
air,moon,1,0.92801166
air,nabhag,1,0.31246936
air,nagas,1,0.3444468
air,nahush,1,0.30884722
air,nala,1,0.36063263
air,nandigrama,1,0.3892542
air,narad,1,0.26736295
air,narayan,1,0.30461416
air,nimi,1,0.40464634
air,ocean,1,0.86044943
air,pahlavas,1,0.05104832
air,phalguni,1,0.24704465
air,raghu,1,0.8325749
air,rain,1,0.9059814
air,rama,1,0.96555173
air,rambha,1,0.021927405
air,ravan,1,0.89280236
air,richika,1,0.46362513
air,right,1,0.8865251
air,rishyasring,1,0.9258157
air,rudra,1,0.46287414
air,sagar,1,0.89198947
air,sakas,1,0.26480064
air,sanatkumar,1,0.2631476
air,santa,1,0.87376624
air,satananda,1,0.68956393
air,satrughna,1,0.6271904
air,sita,1,0.9225051
air,siva,1,0.7514995
air,sthanu,1,0.42583558
air,sudaman,1,0.01813357
air,sudarsan,1,0.3716847
air,sudhanva,1,0.0990046
air,sudras,1,0.3253783
air,sugriva,1,0.82953167
air,suketu,1,0.24698676
air,sumantra,1,0.8366856
air,sumati,1,0.5771242
air,sumitra,1,0.66753745
air,sun,1,0.944596
air,sunahsepha,1,0.5279247
air,sunda,1,0.67648494
air,suvahu,1,0.5897945
air,tadaka,1,0.7410042
air,tara,1,0.2717496
air,thousand-eyed,1,0.83217263
air,titan,1,0.69840866
air,trident,1,0.6761272
air,tripura,1,0.38098702
air,trisanku,1,0.7191006
air,uma,1,0.54746926
air,urmila,1,0.50817734
air,valmiki,1,0.67472905
air,vamadeva,1,0.57028383
air,varun,1,0.45051524
air,vasishtha,1,0.9576248
air,vasudeva,1,0.38304937
air,vedas,1,0.46302357
air,vibhandak,1,0.47019398
air,vibhishan,1,0.31637806
air,viradha,1,0.24638408
air,virtue,1,0.92898387
air,visala,1,0.31873444
air,vishnu,1,0.938388
air,visvamitra,1,0.94883597
air,wind,1,0.8743928
air,wind-god,1,0.57078767
air,yudhajit,1,0.3166177
ambarisha,ansuman,1,0.32913575
ambarisha,asamanj,1,0.3411458
ambarisha,asit,1,0.12636937
ambarisha,asoka,1,0.08767425
ambarisha,asurs,1,0.14424403
ambarisha,asvins,1,0.26275605
ambarisha,ayodhya,1,0.390029
ambarisha,bali,1,0.36590022
ambarisha,barbars,1,0.15948468
ambarisha,beauty,1,0.37004346
ambarisha,bhagirath,1,0.3672666
ambarisha,bharadvaja,1,0.29880866
ambarisha,bharat,1,0.3805236
ambarisha,bhrigu,1,0.20647185
ambarisha,brahma,1,0.3861744
ambarisha,brahmadatta,1,0.2633355
ambarisha,chandala,1,0.2142719
ambarisha,dasaratha,1,0.3959412
ambarisha,devarat,1,0.17974098
ambarisha,dilipa,1,0.3469274
ambarisha,diti,1,0.23562448
ambarisha,fame,1,0.43340805
ambarisha,fate,1,0.41162422
ambarisha,fire,1,0.4282584
ambarisha,fortune,1,0.29092437
ambarisha,gadhi,1,0.22084026
