Source,Target,Weight,Book,vader
sona,rama,2,2,0.7096
raghu,ganga,3,2,0.5487666666666667
himalaya,meru,5,2,0.76066
meru,mena,1,2,0.8957
meru,ganga,1,2,0.8957
meru,uma,1,2,0.8957
mena,himalaya,1,2,0.8957
mena,ganga,1,2,0.8957
mena,uma,1,2,0.8957
uma,ganga,4,2,0.8779
uma,himalaya,4,2,0.8779
rudra,uma,1,2,0.8055
rama,ayodhya,1,2,0.0
ayodhya,sagar,1,2,0.5106
sagar,vidarbha,2,2,0.5106
vidarbha,kesini,1,2,0.886
vidarbha,arishtanemi,1,2,0.886
kesini,arishtanemi,2,2,0.886
arishtanemi,sumati,1,2,0.5994
sumati,himalaya,3,2,0.0
bhrigu,sagar,1,2,0.8658
asamanj,sumati,2,2,0.7906
sagar,himalaya,4,2,0.0772
sagar,vindhya,4,2,0.0772
himalaya,vindhya,1,2,0.8074
vindhya,ansuman,1,2,0.7269
ansuman,sagar,1,2,0.222
ansuman,indra,1,2,0.222
vasudeva,madhu,2,2,0.5719
vasudeva,kapil,2,2,0.5719
madhu,kapil,1,2,0.765
soma,bhadra,1,2,0.4215
garud,vinata,1,2,-0.0772
vinata,kapil,1,2,-0.792
sagar,ansuman,6,2,0.8008333333333333
ansuman,dilipa,3,2,0.2976666666666667
dilipa,himalaya,3,2,0.8126000000000001
himalaya,ganga,1,2,0.872
bhagirath,dilipa,4,2,-0.298
ikshvaku,bhagirath,2,2,0.7906
swarga,siva,1,2,0.5859
bhagirath,siva,7,2,-0.45880000000000004
bhagirath,vindu,7,2,-0.45880000000000004
vindu,ganga,1,2,0.743
vindu,hladini,1,2,0.743
vindu,pavani,1,2,0.743
vindu,nalini,1,2,0.743
ganga,hladini,8,2,0.8125999999999999
ganga,pavani,8,2,0.8125999999999999
ganga,nalini,8,2,0.8125999999999999
hladini,pavani,1,2,0.6808
hladini,nalini,1,2,0.6808
hladini,suchakshu,1,2,0.6808
hladini,sita,1,2,0.6808
pavani,nalini,1,2,0.6808
pavani,suchakshu,1,2,0.6808
pavani,sita,1,2,0.6808
pavani,sindhu,1,2,0.6808
nalini,suchakshu,1,2,0.6808
nalini,sita,1,2,0.6808
nalini,sindhu,1,2,0.6808
suchakshu,sita,1,2,0.926
suchakshu,sindhu,1,2,0.926
sita,sindhu,1,2,0.926
sindhu,bhagirath,1,2,0.9201
jahnavi,jahnu,1,2,0.6705
rama,ganga,4,2,0.852525
lakshman,raghu,1,2,0.8481
lakshman,ganga,1,2,0.8481
indra,krita,2,2,0.7351
krita,diti,1,2,0.9132
krita,aditi,1,2,0.9132
diti,aditi,4,2,0.8996
diti,kasyap,6,2,0.4095
aditi,kasyap,3,2,0.8996
vasuki,mandar,1,2,0.6369
sankar,rudra,1,2,0.5848
sankar,vishnu,1,2,0.5848
rudra,vishnu,1,2,0.784
asurs,mandar,2,2,0.3818
sura,varun,1,2,0.7783
sura,diti,1,2,0.7783
varun,diti,1,2,0.7783
suras,asurs,1,2,0.836
suras,titan,1,2,0.836
suras,uchchaihsravas,1,2,0.836
uchchaihsravas,kaustubha,1,2,0.6597
uchchaihsravas,soma,1,2,0.6597
kaustubha,soma,1,2,0.2732
diti,maricha,2,2,-0.5707
kasyap,maricha,3,2,-0.5562
indra,thousand-eyed,8,2,0.378375
indra,diti,5,2,0.1901
thousand-eyed,diti,2,2,0.1901
maruts,brahma,2,2,-0.0258
maruts,indra,2,2,-0.0258
brahma,vayu,1,2,-0.296
vayu,town-destroyer,1,2,-0.5574
vayu,thousand-eyed,1,2,-0.5574
vayu,bali,1,2,-0.5574
town-destroyer,thousand-eyed,1,2,0.1027
town-destroyer,bali,1,2,0.1027
bali,maruts,1,2,0.1027
mahendra,alambusha,1,2,0.875
mahendra,ikshvaku,1,2,0.875
alambusha,ikshvaku,1,2,0.5719
alambusha,visala,2,2,0.5719
ikshvaku,visala,4,2,0.5719
visala,hemachandra,3,2,0.5719
hemachandra,suchandra,1,2,0.8625
hemachandra,dhumrasva,1,2,0.8625
suchandra,dhumrasva,1,2,0.8126
